_id,datetime,measurement.date,measurement.mass,measurement.name,measurement.remark,measurement.time,measurement.volume,modifeod,name
"""616a02dd91410000da005711""",16.10.2021 00:38:21,"[""2021-10-16""]",[468.5805969238281],"[""Borhspat""]","[""""]","[""00:38:12""]",[156.1935272216797],16.10.2021 00:38:21,DeutscheBarytIndustrieOwlEye
"""616a02ea91410000da005733""",16.10.2021 00:38:34,"[""2021-10-16""]",[411.2079162597656],"[""Borhspat""]","[""""]","[""00:38:23""]",[137.06930541992188],16.10.2021 00:38:34,DeutscheBarytIndustrieOwlEye
"""616a044528620000b4001985""",16.10.2021 00:44:21,"[""2021-10-16""]",[419.8021545410156],"[""Borhspat""]","[""""]","[""00:44:10""]",[139.93405151367188],16.10.2021 00:44:21,DeutscheBarytIndustrieOwlEye
"""616a045b28620000b40019a9""",16.10.2021 00:44:43,"[""2021-10-16""]",[417.3427429199219],"[""Borhspat""]","[""""]","[""00:44:28""]",[139.11424255371094],16.10.2021 00:44:43,DeutscheBarytIndustrieOwlEye
"""616a04942a4d0000520034a9""",16.10.2021 00:45:40,"[""2021-10-16""]",[501.6715087890625],"[""Borhspat""]","[""""]","[""00:45:15""]",[167.22384643554688],16.10.2021 00:45:40,DeutscheBarytIndustrieOwlEye
"""616a05094104000051002571""",16.10.2021 00:47:37,"[""2021-10-16""]",[528.1317749023438],"[""Borhspat""]","[""""]","[""00:46:58""]",[176.04391479492188],16.10.2021 00:47:37,DeutscheBarytIndustrieOwlEye
"""616a057c41040000510025a1""",16.10.2021 00:49:32,"[""2021-10-16""]",[531.41845703125],"[""Borhspat""]","[""""]","[""00:48:51""]",[177.1394805908203],16.10.2021 00:49:32,DeutscheBarytIndustrieOwlEye
"""616a05c041040000510025d1""",16.10.2021 00:50:40,"[""2021-10-16""]",[527.8076171875],"[""Borhspat""]","[""""]","[""00:49:59""]",[175.9358673095703],16.10.2021 00:50:40,DeutscheBarytIndustrieOwlEye
"""616a06324104000051002601""",16.10.2021 00:52:34,"[""2021-10-16""]",[531.689697265625],"[""Borhspat""]","[""""]","[""00:51:56""]",[177.22988891601562],16.10.2021 00:52:34,DeutscheBarytIndustrieOwlEye
"""616a06ad4104000051002631""",16.10.2021 00:54:37,"[""2021-10-16""]",[526.4476928710938],"[""Borhspat""]","[""""]","[""00:53:56""]",[175.48257446289062],16.10.2021 00:54:37,DeutscheBarytIndustrieOwlEye
"""616a07284104000051002661""",16.10.2021 00:56:40,"[""2021-10-16""]",[529.32177734375],"[""Borhspat""]","[""""]","[""00:55:56""]",[176.44058227539062],16.10.2021 00:56:40,DeutscheBarytIndustrieOwlEye
