_id,datetime,measurement.date,measurement.mass,measurement.name,measurement.remark,measurement.time,measurement.volume,modifeod,name
"""616a02d191410000da0056f3""",16.10.2021 00:38:09,"[""2021-10-16""]",[29.584514617919922],"[""Mitte-Rechts""]","[""""]","[""00:38:04""]",[9.861504554748535],16.10.2021 00:38:09,DeutscheBarytIndustrieOwlEye
"""616a02dd91410000da00570b""",16.10.2021 00:38:20,"[""2021-10-16""]",[57.56299591064453],"[""Mitte-Rechts""]","[""""]","[""00:38:12""]",[19.187665939331055],16.10.2021 00:38:20,DeutscheBarytIndustrieOwlEye
"""616a02e991410000da00572d""",16.10.2021 00:38:33,"[""2021-10-16""]",[90.1127700805664],"[""Mitte-Rechts""]","[""""]","[""00:38:23""]",[30.03759002685547],16.10.2021 00:38:33,DeutscheBarytIndustrieOwlEye
"""616a042c28620000b400193b""",16.10.2021 00:43:55,"[""2021-10-16""]",[0.2506071627140045],"[""Mitte-Rechts""]","[""""]","[""00:43:49""]",[0.08353572338819504],16.10.2021 00:43:55,DeutscheBarytIndustrieOwlEye
"""616a043828620000b400195b""",16.10.2021 00:44:07,"[""2021-10-16""]",[0.9452164769172668],"[""Mitte-Rechts""]","[""""]","[""00:44:00""]",[0.3150721490383148],16.10.2021 00:44:07,DeutscheBarytIndustrieOwlEye
"""616a044428620000b400197d""",16.10.2021 00:44:19,"[""2021-10-16""]",[0.0725129246711731],"[""Mitte-Rechts""]","[""""]","[""00:44:10""]",[0.024170976132154465],16.10.2021 00:44:19,DeutscheBarytIndustrieOwlEye
"""616a045a28620000b40019a1""",16.10.2021 00:44:42,"[""2021-10-16""]",[-0.4564996659755707],"[""Mitte-Rechts""]","[""""]","[""00:44:28""]",[-0.15216656029224396],16.10.2021 00:44:42,DeutscheBarytIndustrieOwlEye
"""616a04922a4d00005200349d""",16.10.2021 00:45:37,"[""2021-10-16""]",[3.3647589683532715],"[""Mitte-Rechts""]","[""""]","[""00:45:15""]",[1.1215863227844238],16.10.2021 00:45:37,DeutscheBarytIndustrieOwlEye
"""616a05064104000051002563""",16.10.2021 00:47:33,"[""2021-10-16""]",[2.467564344406128],"[""Mitte-Rechts""]","[""""]","[""00:46:58""]",[0.822521448135376],16.10.2021 00:47:33,DeutscheBarytIndustrieOwlEye
"""616a05794104000051002593""",16.10.2021 00:49:28,"[""2021-10-16""]",[3.370934247970581],"[""Mitte-Rechts""]","[""""]","[""00:48:51""]",[1.1236448287963867],16.10.2021 00:49:28,DeutscheBarytIndustrieOwlEye
"""616a05bc41040000510025c3""",16.10.2021 00:50:36,"[""2021-10-16""]",[2.805704116821289],"[""Mitte-Rechts""]","[""""]","[""00:49:59""]",[0.9352347254753113],16.10.2021 00:50:36,DeutscheBarytIndustrieOwlEye
"""616a062f41040000510025f3""",16.10.2021 00:52:31,"[""2021-10-16""]",[0.06264543533325195],"[""Mitte-Rechts""]","[""""]","[""00:51:56""]",[0.020881813019514084],16.10.2021 00:52:31,DeutscheBarytIndustrieOwlEye
"""616a06a94104000051002623""",16.10.2021 00:54:33,"[""2021-10-16""]",[3.2677767276763916],"[""Mitte-Rechts""]","[""""]","[""00:53:56""]",[1.0892589092254639],16.10.2021 00:54:33,DeutscheBarytIndustrieOwlEye
"""616a07244104000051002653""",16.10.2021 00:56:36,"[""2021-10-16""]",[3.8911497592926025],"[""Mitte-Rechts""]","[""""]","[""00:55:56""]",[1.297049880027771],16.10.2021 00:56:36,DeutscheBarytIndustrieOwlEye
