_id,datetime,measurement.date,measurement.mass,measurement.name,measurement.remark,measurement.time,measurement.volume,modifeod,name
"""616a02d291410000da0056f5""",16.10.2021 00:38:09,"[""2021-10-16""]",[69.40068054199219],"[""Mitte""]","[""""]","[""00:38:04""]",[23.133560180664062],16.10.2021 00:38:09,DeutscheBarytIndustrieOwlEye
"""616a02dd91410000da00570d""",16.10.2021 00:38:21,"[""2021-10-16""]",[77.16339111328125],"[""Mitte""]","[""""]","[""00:38:12""]",[25.72113037109375],16.10.2021 00:38:21,DeutscheBarytIndustrieOwlEye
"""616a02ea91410000da00572f""",16.10.2021 00:38:33,"[""2021-10-16""]",[78.49189758300781],"[""Mitte""]","[""""]","[""00:38:23""]",[26.163965225219727],16.10.2021 00:38:33,DeutscheBarytIndustrieOwlEye
"""616a042c28620000b400193d""",16.10.2021 00:43:56,"[""2021-10-16""]",[12.551057815551758],"[""Mitte""]","[""""]","[""00:43:49""]",[4.183685779571533],16.10.2021 00:43:56,DeutscheBarytIndustrieOwlEye
"""616a043828620000b400195d""",16.10.2021 00:44:08,"[""2021-10-16""]",[15.249999046325684],"[""Mitte""]","[""""]","[""00:44:00""]",[5.0833330154418945],16.10.2021 00:44:08,DeutscheBarytIndustrieOwlEye
"""616a044428620000b400197f""",16.10.2021 00:44:20,"[""2021-10-16""]",[7.420928478240967],"[""Mitte""]","[""""]","[""00:44:10""]",[2.4736428260803223],16.10.2021 00:44:20,DeutscheBarytIndustrieOwlEye
"""616a045a28620000b40019a3""",16.10.2021 00:44:42,"[""2021-10-16""]",[116.3880615234375],"[""Mitte""]","[""""]","[""00:44:28""]",[38.7960205078125],16.10.2021 00:44:42,DeutscheBarytIndustrieOwlEye
"""616a04922a4d00005200349f""",16.10.2021 00:45:38,"[""2021-10-16""]",[92.17867279052734],"[""Mitte""]","[""""]","[""00:45:15""]",[30.72622299194336],16.10.2021 00:45:38,DeutscheBarytIndustrieOwlEye
"""616a05064104000051002565""",16.10.2021 00:47:34,"[""2021-10-16""]",[64.64403533935547],"[""Mitte""]","[""""]","[""00:46:58""]",[21.54801368713379],16.10.2021 00:47:34,DeutscheBarytIndustrieOwlEye
"""616a05794104000051002595""",16.10.2021 00:49:29,"[""2021-10-16""]",[65.67157745361328],"[""Mitte""]","[""""]","[""00:48:51""]",[21.890525817871094],16.10.2021 00:49:29,DeutscheBarytIndustrieOwlEye
"""616a05bd41040000510025c5""",16.10.2021 00:50:36,"[""2021-10-16""]",[65.13219451904297],"[""Mitte""]","[""""]","[""00:49:59""]",[21.710731506347656],16.10.2021 00:50:36,DeutscheBarytIndustrieOwlEye
"""616a062f41040000510025f5""",16.10.2021 00:52:31,"[""2021-10-16""]",[65.57725524902344],"[""Mitte""]","[""""]","[""00:51:56""]",[21.859085083007812],16.10.2021 00:52:31,DeutscheBarytIndustrieOwlEye
"""616a06aa4104000051002625""",16.10.2021 00:54:33,"[""2021-10-16""]",[66.1823501586914],"[""Mitte""]","[""""]","[""00:53:56""]",[22.06078338623047],16.10.2021 00:54:33,DeutscheBarytIndustrieOwlEye
"""616a07244104000051002655""",16.10.2021 00:56:36,"[""2021-10-16""]",[64.99539184570312],"[""Mitte""]","[""""]","[""00:55:56""]",[21.665132522583008],16.10.2021 00:56:36,DeutscheBarytIndustrieOwlEye
"""616a079b4104000051002685""",16.10.2021 00:58:35,"[""2021-10-16""]",[65.45834350585938],"[""Mitte""]","[""""]","[""00:57:56""]",[21.819448471069336],16.10.2021 00:58:35,DeutscheBarytIndustrieOwlEye
"""616a080f41040000510026b5""",16.10.2021 01:00:31,"[""2021-10-16""]",[64.23006439208984],"[""Mitte""]","[""""]","[""00:59:56""]",[21.41002082824707],16.10.2021 01:00:31,DeutscheBarytIndustrieOwlEye
"""616a088d41040000510026e5""",16.10.2021 01:02:36,"[""2021-10-16""]",[64.98973846435547],"[""Mitte""]","[""""]","[""01:01:56""]",[21.663244247436523],16.10.2021 01:02:36,DeutscheBarytIndustrieOwlEye
"""616a08ff4104000051002715""",16.10.2021 01:04:31,"[""2021-10-16""]",[66.23091888427734],"[""Mitte""]","[""""]","[""01:03:56""]",[22.07697296142578],16.10.2021 01:04:31,DeutscheBarytIndustrieOwlEye
"""616a09774104000051002745""",16.10.2021 01:06:31,"[""2021-10-16""]",[64.95146179199219],"[""Mitte""]","[""""]","[""01:05:56""]",[21.650487899780273],16.10.2021 01:06:31,DeutscheBarytIndustrieOwlEye
"""616a09ef4104000051002775""",16.10.2021 01:08:31,"[""2021-10-16""]",[66.35633087158203],"[""Mitte""]","[""""]","[""01:07:56""]",[22.118776321411133],16.10.2021 01:08:31,DeutscheBarytIndustrieOwlEye
"""616a193c3b53000068003b85""",16.10.2021 02:13:47,"[""2021-10-16""]",[66.66378021240234],"[""Mitte""]","[""""]","[""02:13:11""]",[22.22126007080078],16.10.2021 02:13:47,DeutscheBarytIndustrieOwlEye
"""616a19b83b53000068003bb5""",16.10.2021 02:15:52,"[""2021-10-16""]",[65.31513977050781],"[""Mitte""]","[""""]","[""02:15:17""]",[21.771713256835938],16.10.2021 02:15:52,DeutscheBarytIndustrieOwlEye
"""616a1a313b53000068003be5""",16.10.2021 02:17:53,"[""2021-10-16""]",[64.30348205566406],"[""Mitte""]","[""""]","[""02:17:17""]",[21.434494018554688],16.10.2021 02:17:53,DeutscheBarytIndustrieOwlEye
"""616a1aad3b53000068003c15""",16.10.2021 02:19:56,"[""2021-10-16""]",[65.54875183105469],"[""Mitte""]","[""""]","[""02:19:17""]",[21.849584579467773],16.10.2021 02:19:56,DeutscheBarytIndustrieOwlEye
"""616a1b223b53000068003c45""",16.10.2021 02:21:54,"[""2021-10-16""]",[65.45603942871094],"[""Mitte""]","[""""]","[""02:21:17""]",[21.818679809570312],16.10.2021 02:21:54,DeutscheBarytIndustrieOwlEye
"""616a1b9a3b53000068003c75""",16.10.2021 02:23:54,"[""2021-10-16""]",[64.9352798461914],"[""Mitte""]","[""""]","[""02:23:17""]",[21.645092010498047],16.10.2021 02:23:54,DeutscheBarytIndustrieOwlEye
"""616a1c153b53000068003ca5""",16.10.2021 02:25:57,"[""2021-10-16""]",[65.95118713378906],"[""Mitte""]","[""""]","[""02:25:17""]",[21.983728408813477],16.10.2021 02:25:57,DeutscheBarytIndustrieOwlEye
"""616a1c8d3b53000068003cd5""",16.10.2021 02:27:57,"[""2021-10-16""]",[66.34944915771484],"[""Mitte""]","[""""]","[""02:27:17""]",[22.116483688354492],16.10.2021 02:27:57,DeutscheBarytIndustrieOwlEye
"""616a1d013b53000068003d05""",16.10.2021 02:29:53,"[""2021-10-16""]",[65.66165924072266],"[""Mitte""]","[""""]","[""02:29:17""]",[21.887218475341797],16.10.2021 02:29:53,DeutscheBarytIndustrieOwlEye
"""616a1d773b53000068003d35""",16.10.2021 02:31:51,"[""2021-10-16""]",[65.547119140625],"[""Mitte""]","[""""]","[""02:31:17""]",[21.849040985107422],16.10.2021 02:31:51,DeutscheBarytIndustrieOwlEye
"""616a1df03b53000068003d65""",16.10.2021 02:33:51,"[""2021-10-16""]",[65.370849609375],"[""Mitte""]","[""""]","[""02:33:17""]",[21.790283203125],16.10.2021 02:33:51,DeutscheBarytIndustrieOwlEye
"""616a1e673b53000068003d95""",16.10.2021 02:35:51,"[""2021-10-16""]",[65.52915954589844],"[""Mitte""]","[""""]","[""02:35:17""]",[21.84305191040039],16.10.2021 02:35:51,DeutscheBarytIndustrieOwlEye
"""616a1ee03b53000068003dc5""",16.10.2021 02:37:51,"[""2021-10-16""]",[65.31590270996094],"[""Mitte""]","[""""]","[""02:37:17""]",[21.7719669342041],16.10.2021 02:37:51,DeutscheBarytIndustrieOwlEye
"""616a1f583b53000068003df5""",16.10.2021 02:39:51,"[""2021-10-16""]",[65.2875747680664],"[""Mitte""]","[""""]","[""02:39:17""]",[21.76252555847168],16.10.2021 02:39:51,DeutscheBarytIndustrieOwlEye
"""616a1fd03b53000068003e25""",16.10.2021 02:41:52,"[""2021-10-16""]",[66.05577850341797],"[""Mitte""]","[""""]","[""02:41:17""]",[22.018592834472656],16.10.2021 02:41:52,DeutscheBarytIndustrieOwlEye
"""616a5d5b6c2600003f000f97""",16.10.2021 07:04:26,"[""2021-10-16""]",[64.79955291748047],"[""Mitte""]","[""""]","[""07:03:59""]",[21.599851608276367],16.10.2021 07:04:26,DeutscheBarytIndustrieOwlEye
"""616a6a576c2600003f000fc7""",16.10.2021 07:59:51,"[""2021-10-16""]",[65.11602783203125],"[""Mitte""]","[""""]","[""07:59:23""]",[21.70534324645996],16.10.2021 07:59:51,DeutscheBarytIndustrieOwlEye
"""616a6bf96c2600003f000ff7""",16.10.2021 08:06:49,"[""2021-10-16""]",[65.17363739013672],"[""Mitte""]","[""""]","[""08:06:21""]",[21.724546432495117],16.10.2021 08:06:49,DeutscheBarytIndustrieOwlEye
"""616a6d9e6c2600003f001027""",16.10.2021 08:13:50,"[""2021-10-16""]",[66.21442413330078],"[""Mitte""]","[""""]","[""08:13:21""]",[22.071474075317383],16.10.2021 08:13:50,DeutscheBarytIndustrieOwlEye
"""616a6f416c2600003f001057""",16.10.2021 08:20:48,"[""2021-10-16""]",[65.11149597167969],"[""Mitte""]","[""""]","[""08:20:21""]",[21.70383071899414],16.10.2021 08:20:48,DeutscheBarytIndustrieOwlEye
"""616a70e56c2600003f001087""",16.10.2021 08:27:48,"[""2021-10-16""]",[66.37777709960938],"[""Mitte""]","[""""]","[""08:27:21""]",[22.125926971435547],16.10.2021 08:27:48,DeutscheBarytIndustrieOwlEye
"""616a72896c2600003f0010b7""",16.10.2021 08:34:49,"[""2021-10-16""]",[65.62262725830078],"[""Mitte""]","[""""]","[""08:34:21""]",[21.874208450317383],16.10.2021 08:34:49,DeutscheBarytIndustrieOwlEye
"""616a742f6c2600003f0010e9""",16.10.2021 08:41:50,"[""2021-10-16""]",[65.18756866455078],"[""Mitte""]","[""""]","[""08:41:21""]",[21.729188919067383],16.10.2021 08:41:50,DeutscheBarytIndustrieOwlEye
"""616a75d16c2600003f001119""",16.10.2021 08:48:48,"[""2021-10-16""]",[65.49893188476562],"[""Mitte""]","[""""]","[""08:48:21""]",[21.832977294921875],16.10.2021 08:48:48,DeutscheBarytIndustrieOwlEye
"""616a77746c2600003f001149""",16.10.2021 08:55:48,"[""2021-10-16""]",[65.05931091308594],"[""Mitte""]","[""""]","[""08:55:21""]",[21.68643569946289],16.10.2021 08:55:48,DeutscheBarytIndustrieOwlEye
"""616a79196c2600003f001179""",16.10.2021 09:02:49,"[""2021-10-16""]",[64.64517211914062],"[""Mitte""]","[""""]","[""09:02:21""]",[21.548389434814453],16.10.2021 09:02:49,DeutscheBarytIndustrieOwlEye
"""616a7abc6c2600003f0011a9""",16.10.2021 09:09:48,"[""2021-10-16""]",[65.87516021728516],"[""Mitte""]","[""""]","[""09:09:21""]",[21.958385467529297],16.10.2021 09:09:48,DeutscheBarytIndustrieOwlEye
"""616a7c616c2600003f0011d9""",16.10.2021 09:16:49,"[""2021-10-16""]",[65.27137756347656],"[""Mitte""]","[""""]","[""09:16:21""]",[21.75712776184082],16.10.2021 09:16:49,DeutscheBarytIndustrieOwlEye
"""616a7e056c2600003f001209""",16.10.2021 09:23:49,"[""2021-10-16""]",[64.99217987060547],"[""Mitte""]","[""""]","[""09:23:21""]",[21.664060592651367],16.10.2021 09:23:49,DeutscheBarytIndustrieOwlEye
"""616a7fa86c2600003f001239""",16.10.2021 09:30:48,"[""2021-10-16""]",[65.62481689453125],"[""Mitte""]","[""""]","[""09:30:21""]",[21.874940872192383],16.10.2021 09:30:48,DeutscheBarytIndustrieOwlEye
"""616a814d6c2600003f001269""",16.10.2021 09:37:48,"[""2021-10-16""]",[65.93049621582031],"[""Mitte""]","[""""]","[""09:37:21""]",[21.97683334350586],16.10.2021 09:37:48,DeutscheBarytIndustrieOwlEye
"""616a82f06c2600003f001299""",16.10.2021 09:44:48,"[""2021-10-16""]",[65.1132583618164],"[""Mitte""]","[""""]","[""09:44:21""]",[21.704418182373047],16.10.2021 09:44:48,DeutscheBarytIndustrieOwlEye
"""616a84956c2600003f0012c9""",16.10.2021 09:51:49,"[""2021-10-16""]",[65.20755004882812],"[""Mitte""]","[""""]","[""09:51:21""]",[21.735849380493164],16.10.2021 09:51:49,DeutscheBarytIndustrieOwlEye
"""616a86396c2600003f0012f9""",16.10.2021 09:58:49,"[""2021-10-16""]",[65.96294403076172],"[""Mitte""]","[""""]","[""09:58:21""]",[21.987648010253906],16.10.2021 09:58:49,DeutscheBarytIndustrieOwlEye
