_id,datetime,measurement.date,measurement.mass,measurement.name,measurement.remark,measurement.time,measurement.volume,modifeod,name
"""616a02d191410000da0056f1""",16.10.2021 00:38:09,"[""2021-10-16""]",[0.02482038363814354],"[""Siebanlage-Grobgut""]","[""""]","[""00:38:04""]",[0.008558752946555614],16.10.2021 00:38:09,DeutscheBarytIndustrieOwlEye
"""616a02dc91410000da005709""",16.10.2021 00:38:20,"[""2021-10-16""]",[1.1556848287582397],"[""Siebanlage-Grobgut""]","[""""]","[""00:38:12""]",[0.39851200580596924],16.10.2021 00:38:20,DeutscheBarytIndustrieOwlEye
"""616a02e991410000da005729""",16.10.2021 00:38:32,"[""2021-10-16""]",[1.313043475151062],"[""Siebanlage-Grobgut""]","[""""]","[""00:38:23""]",[0.4527736008167267],16.10.2021 00:38:32,DeutscheBarytIndustrieOwlEye
"""616a042b28620000b4001939""",16.10.2021 00:43:55,"[""2021-10-16""]",[24.63701057434082],"[""Siebanlage-Grobgut""]","[""""]","[""00:43:49""]",[8.49552059173584],16.10.2021 00:43:55,DeutscheBarytIndustrieOwlEye
"""616a043728620000b4001957""",16.10.2021 00:44:07,"[""2021-10-16""]",[24.974048614501953],"[""Siebanlage-Grobgut""]","[""""]","[""00:44:00""]",[8.611740112304688],16.10.2021 00:44:07,DeutscheBarytIndustrieOwlEye
"""616a044328620000b4001979""",16.10.2021 00:44:19,"[""2021-10-16""]",[25.25979232788086],"[""Siebanlage-Grobgut""]","[""""]","[""00:44:10""]",[8.710272789001465],16.10.2021 00:44:19,DeutscheBarytIndustrieOwlEye
"""616a045a28620000b400199d""",16.10.2021 00:44:41,"[""2021-10-16""]",[23.099027633666992],"[""Siebanlage-Grobgut""]","[""""]","[""00:44:28""]",[7.965181350708008],16.10.2021 00:44:41,DeutscheBarytIndustrieOwlEye
"""616a04912a4d000052003499""",16.10.2021 00:45:37,"[""2021-10-16""]",[23.796764373779297],"[""Siebanlage-Grobgut""]","[""""]","[""00:45:15""]",[8.205780029296875],16.10.2021 00:45:37,DeutscheBarytIndustrieOwlEye
"""616a0505410400005100255d""",16.10.2021 00:47:32,"[""2021-10-16""]",[23.998369216918945],"[""Siebanlage-Grobgut""]","[""""]","[""00:46:58""]",[8.275299072265625],16.10.2021 00:47:32,DeutscheBarytIndustrieOwlEye
"""616a0578410400005100258d""",16.10.2021 00:49:27,"[""2021-10-16""]",[24.116348266601562],"[""Siebanlage-Grobgut""]","[""""]","[""00:48:51""]",[8.3159818649292],16.10.2021 00:49:27,DeutscheBarytIndustrieOwlEye
"""616a05bb41040000510025bd""",16.10.2021 00:50:35,"[""2021-10-16""]",[22.963623046875],"[""Siebanlage-Grobgut""]","[""""]","[""00:49:59""]",[7.918490409851074],16.10.2021 00:50:35,DeutscheBarytIndustrieOwlEye
"""616a062e41040000510025ed""",16.10.2021 00:52:30,"[""2021-10-16""]",[23.582077026367188],"[""Siebanlage-Grobgut""]","[""""]","[""00:51:56""]",[8.13175106048584],16.10.2021 00:52:30,DeutscheBarytIndustrieOwlEye
"""616a06a8410400005100261d""",16.10.2021 00:54:32,"[""2021-10-16""]",[24.0195369720459],"[""Siebanlage-Grobgut""]","[""""]","[""00:53:56""]",[8.282598495483398],16.10.2021 00:54:32,DeutscheBarytIndustrieOwlEye
"""616a0723410400005100264d""",16.10.2021 00:56:35,"[""2021-10-16""]",[23.474563598632812],"[""Siebanlage-Grobgut""]","[""""]","[""00:55:56""]",[8.094676971435547],16.10.2021 00:56:35,DeutscheBarytIndustrieOwlEye
"""616a079a410400005100267d""",16.10.2021 00:58:33,"[""2021-10-16""]",[23.76342010498047],"[""Siebanlage-Grobgut""]","[""""]","[""00:57:56""]",[8.194282531738281],16.10.2021 00:58:33,DeutscheBarytIndustrieOwlEye
"""616a080e41040000510026ad""",16.10.2021 01:00:29,"[""2021-10-16""]",[24.015514373779297],"[""Siebanlage-Grobgut""]","[""""]","[""00:59:56""]",[8.281211853027344],16.10.2021 01:00:29,DeutscheBarytIndustrieOwlEye
"""616a088b41040000510026dd""",16.10.2021 01:02:35,"[""2021-10-16""]",[23.769662857055664],"[""Siebanlage-Grobgut""]","[""""]","[""01:01:56""]",[8.19643497467041],16.10.2021 01:02:35,DeutscheBarytIndustrieOwlEye
"""616a08fe410400005100270d""",16.10.2021 01:04:29,"[""2021-10-16""]",[23.618404388427734],"[""Siebanlage-Grobgut""]","[""""]","[""01:03:56""]",[8.14427661895752],16.10.2021 01:04:29,DeutscheBarytIndustrieOwlEye
"""616a0976410400005100273d""",16.10.2021 01:06:30,"[""2021-10-16""]",[23.46892738342285],"[""Siebanlage-Grobgut""]","[""""]","[""01:05:56""]",[8.092733383178711],16.10.2021 01:06:30,DeutscheBarytIndustrieOwlEye
