_id,datetime,measurement.date,measurement.mass,measurement.name,measurement.remark,measurement.time,measurement.volume,modifeod,name
"""616a042b28620000b4001937""",16.10.2021 00:43:55,"[""2021-10-16""]",[216.28640747070312],"[""Weissspat""]","[""""]","[""00:43:49""]",[72.09546661376953],16.10.2021 00:43:55,DeutscheBarytIndustrieOwlEye
"""616a043728620000b4001959""",16.10.2021 00:44:07,"[""2021-10-16""]",[351.6693115234375],"[""Weissspat""]","[""""]","[""00:44:00""]",[117.22310638427734],16.10.2021 00:44:07,DeutscheBarytIndustrieOwlEye
"""616a044328620000b400197b""",16.10.2021 00:44:19,"[""2021-10-16""]",[349.1394958496094],"[""Weissspat""]","[""""]","[""00:44:10""]",[116.37982940673828],16.10.2021 00:44:19,DeutscheBarytIndustrieOwlEye
"""616a045a28620000b400199f""",16.10.2021 00:44:42,"[""2021-10-16""]",[349.6927795410156],"[""Weissspat""]","[""""]","[""00:44:28""]",[116.56425476074219],16.10.2021 00:44:42,DeutscheBarytIndustrieOwlEye
"""616a04912a4d00005200349b""",16.10.2021 00:45:37,"[""2021-10-16""]",[349.6698913574219],"[""Weissspat""]","[""""]","[""00:45:15""]",[116.55663299560547],16.10.2021 00:45:37,DeutscheBarytIndustrieOwlEye
"""616a05054104000051002561""",16.10.2021 00:47:33,"[""2021-10-16""]",[346.6488342285156],"[""Weissspat""]","[""""]","[""00:46:58""]",[115.54960632324219],16.10.2021 00:47:33,DeutscheBarytIndustrieOwlEye
"""616a05784104000051002591""",16.10.2021 00:49:28,"[""2021-10-16""]",[350.0796813964844],"[""Weissspat""]","[""""]","[""00:48:51""]",[116.69322204589844],16.10.2021 00:49:28,DeutscheBarytIndustrieOwlEye
"""616a05bc41040000510025c1""",16.10.2021 00:50:36,"[""2021-10-16""]",[350.0364990234375],"[""Weissspat""]","[""""]","[""00:49:59""]",[116.67882537841797],16.10.2021 00:50:36,DeutscheBarytIndustrieOwlEye
"""616a062e41040000510025f1""",16.10.2021 00:52:30,"[""2021-10-16""]",[347.6286926269531],"[""Weissspat""]","[""""]","[""00:51:56""]",[115.87622833251953],16.10.2021 00:52:30,DeutscheBarytIndustrieOwlEye
"""616a06a94104000051002621""",16.10.2021 00:54:33,"[""2021-10-16""]",[349.757080078125],"[""Weissspat""]","[""""]","[""00:53:56""]",[116.585693359375],16.10.2021 00:54:33,DeutscheBarytIndustrieOwlEye
"""616a07244104000051002651""",16.10.2021 00:56:35,"[""2021-10-16""]",[349.8331298828125],"[""Weissspat""]","[""""]","[""00:55:56""]",[116.61104583740234],16.10.2021 00:56:35,DeutscheBarytIndustrieOwlEye
"""616a079a4104000051002681""",16.10.2021 00:58:34,"[""2021-10-16""]",[348.7471008300781],"[""Weissspat""]","[""""]","[""00:57:56""]",[116.24903869628906],16.10.2021 00:58:34,DeutscheBarytIndustrieOwlEye
"""616a080e41040000510026b1""",16.10.2021 01:00:30,"[""2021-10-16""]",[346.7214050292969],"[""Weissspat""]","[""""]","[""00:59:56""]",[115.57379913330078],16.10.2021 01:00:30,DeutscheBarytIndustrieOwlEye
